,BANK,IT,AUTO,PHARMA,FMCG,METAL,REALTY,ENERGY
2021-11-30,-0.0019911733,-0.007452882,-0.003297383,-0.0019911733,-0.0019911733,-0.0019911733,-0.0019911733,-0.0019911733
2021-12-31,-0.0010415306,-0.00672435,-0.00239011,-0.0010415306,-0.0010415306,-0.0010415306,-0.0010415306,-0.0010415306
2022-01-31,-0.00776856,-0.0030456595,-0.0069551235,-0.00776856,-0.00776856,-0.00776856,-0.00776856,-0.00776856
2022-02-28,-0.004119778,-0.004762304,-0.004200252,-0.004119778,-0.004119778,-0.004119778,-0.004119778,-0.004119778
2022-03-31,-0.0018063625,0.003345712,-0.0005771844,-0.0018063625,-0.0018063625,-0.0018063625,-0.0018063625,-0.0018063625
2022-04-29,-0.0070392108,0.0032238932,-0.0049851816,-0.0070392108,-0.0070392108,-0.0070392108,-0.0070392108,-0.0070392108
2022-05-31,-0.0014770953,-0.003755983,-0.0021583121,-0.0014770953,-0.0014770953,-0.0014770953,-0.0014770953,-0.0014770953
2022-06-30,-0.0037723975,-0.0039036954,-0.0039605508,-0.0037723975,-0.0037723975,-0.0037723975,-0.0037723975,-0.0037723975
2022-07-29,0.0014063967,0.0011924049,0.0013213847,0.0014063967,0.0014063967,0.0014063967,0.0014063967,0.0014063967
2022-08-30,-0.006586682,-0.0028429152,-0.0058123246,-0.006586682,-0.006586682,-0.006586682,-0.006586682,-0.006586682
2022-09-30,-0.00561054,-0.0011396809,-0.0045556547,-0.00561054,-0.00561054,-0.00561054,-0.00561054,-0.00561054
2022-10-31,-0.00051040575,-0.000734915,-0.00043618307,-0.00051040575,-0.00051040575,-0.00051040575,-0.00051040575,-0.00051040575
2022-11-30,0.0064561414,0.0029237084,0.005859143,0.0064561414,0.0064561414,0.0064561414,0.0064561414,0.0064561414
2022-12-30,-0.0018111421,-0.004166914,-0.0023378236,-0.0018111421,-0.0018111421,-0.0018111421,-0.0018111421,-0.0018111421
2023-01-31,-0.003916486,-0.013840944,-0.0061245374,-0.003916486,-0.003916486,-0.003916486,-0.003916486,-0.003916486
2023-02-28,0.0059752325,-0.00069746,0.0044702077,0.0059752325,0.0059752325,0.0059752325,0.0059752325,0.0059752325
2023-03-31,-0.0046863807,-0.0012183059,-0.004001951,-0.0046863807,-0.0046863807,-0.0046863807,-0.0046863807,-0.0046863807
2023-04-28,-0.002605726,0.00018021744,-0.0021077516,-0.002605726,-0.002605726,-0.002605726,-0.002605726,-0.002605726
